dbn,school_name,num_of_sat_test_takers,sat_critical_reading_avg._score,sat_math_avg._score,sat_writing_avg._score,sat_total,boro,total_students,borough,asian_per,black_per,hispanic_per,white_per,ell_percent,sped_percent,female_per,male_per,ap_test_takers,grad_rate
31R455,TOTTENVILLE HIGH SCHOOL,807.0,462.0,486.0,470.0,1418.0,Staten Island,3957.0,Staten Island,5.4,2.1,9.9,82.1,1.4,13.9,50.4,49.6,396.0,896.0
31R460,SUSAN E. WAGNER HIGH SCHOOL,535.0,455.0,474.0,459.0,1388.0,Staten Island,3461.0,Staten Island,14.6,11.3,24.1,49.4,3.4,18.8,49.2,50.8,279.0,711.0
31R600,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,94.0,416.0,422.0,397.0,1235.0,Staten Island,632.0,Staten Island,4.6,40.3,33.2,21.6,3.6,26.2,32.9,67.1,0.0,101.0
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,227.0,635.0,682.0,636.0,1953.0,Staten Island,1235.0,Staten Island,31.8,1.1,5.3,61.3,0.1,0.5,43.0,57.0,528.0,288.0
32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,50.0,380.0,366.0,352.0,1098.0,Brooklyn,352.0,Brooklyn,0.6,21.0,77.1,0.8,32.9,17.7,50.0,50.0,,73.0
32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICE–BUSHWICK,88.0,384.0,409.0,361.0,1154.0,Brooklyn,513.0,Brooklyn,1.7,9.2,88.1,0.7,15.3,12.2,47.9,52.1,47.0,109.0
32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,75.0,348.0,353.0,334.0,1035.0,Brooklyn,416.0,Brooklyn,0.5,28.3,68.7,1.8,18.2,18.4,51.6,48.4,,75.0
32K552,ACADEMY OF URBAN PLANNING,67.0,342.0,364.0,354.0,1060.0,Brooklyn,313.0,Brooklyn,1.5,26.4,70.4,1.0,23.9,22.1,45.5,54.5,76.0,62.0
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,39.0,428.0,465.0,422.0,1315.0,Brooklyn,333.0,Brooklyn,5.3,12.9,79.5,1.5,2.7,4.9,47.9,52.1,7.0,38.0
32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,23.0,347.0,358.0,350.0,1055.0,Brooklyn,362.0,Brooklyn,0.9,21.2,77.3,0.0,18.2,18.6,46.8,53.2,34.0,66.0
