dbn,school_name,num_of_sat_test_takers,sat_critical_reading_avg._score,sat_math_avg._score,sat_writing_avg._score,sat_total,boro,total_students,borough,asian_per,black_per,hispanic_per,white_per,ell_percent,sped_percent,female_per,male_per,ap_test_takers,grad_rate
28Q620,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,422.0,452.0,478.0,442.0,1372.0,Queens,2168.0,Queens,50.9,23.7,21.1,3.2,1.4,11.4,34.9,65.1,183.0,717.0
28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,99.0,513.0,523.0,502.0,1538.0,Queens,811.0,Queens,36.5,44.8,15.7,2.7,0.1,1.7,61.9,38.1,89.0,113.0
28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,121.0,612.0,660.0,596.0,1868.0,Queens,419.0,Queens,74.4,10.5,7.9,6.7,0.2,0.2,43.5,56.5,215.0,104.0
28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,74.0,406.0,406.0,384.0,1196.0,Queens,565.0,Queens,8.4,73.7,15.1,1.3,2.1,16.6,47.0,53.0,19.0,103.0
28Q896,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",68.0,439.0,445.0,432.0,1316.0,Queens,555.0,Queens,21.0,57.3,18.4,2.4,2.7,9.0,100.0,0.0,6.0,
29Q248,QUEENS PREPARATORY ACADEMY,52.0,360.0,380.0,359.0,1099.0,Queens,465.0,Queens,5.2,84.4,8.2,0.9,4.5,11.3,44.0,56.0,15.0,72.0
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,46.0,401.0,397.0,375.0,1173.0,Queens,563.0,Queens,2.2,94.2,2.9,0.7,2.3,16.0,46.7,53.3,29.0,53.0
29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,49.0,402.0,398.0,402.0,1202.0,Queens,480.0,Queens,4.3,82.8,9.7,0.5,2.3,14.7,43.1,56.9,,67.0
29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,59.0,436.0,427.0,424.0,1287.0,Queens,498.0,Queens,9.3,73.8,14.1,1.3,1.7,9.1,52.7,47.3,14.0,88.0
29Q283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,43.0,370.0,367.0,363.0,1100.0,Queens,522.0,Queens,3.4,84.1,10.4,0.8,1.9,14.4,56.9,43.1,40.0,29.0
29Q492,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",78.0,400.0,426.0,394.0,1220.0,Queens,416.0,Queens,6.8,79.6,11.9,0.7,5.1,10.4,39.6,60.4,22.0,82.0
29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,62.0,393.0,381.0,377.0,1151.0,Queens,513.0,Queens,4.0,85.9,8.5,1.5,3.5,14.8,57.2,42.8,,75.0
30Q301,ACADEMY FOR CAREERS IN TELEVISION AND FILM,98.0,410.0,440.0,405.0,1255.0,Queens,470.0,Queens,6.0,20.5,53.5,18.9,2.9,14.6,46.8,53.2,,
30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,395.0,414.0,449.0,412.0,1275.0,Queens,2627.0,Queens,28.9,7.3,48.8,14.5,17.9,12.1,46.3,53.7,243.0,495.0
30Q450,LONG ISLAND CITY HIGH SCHOOL,392.0,403.0,420.0,395.0,1218.0,Queens,2522.0,Queens,13.2,11.4,62.7,12.5,13.2,13.8,48.7,51.3,406.0,443.0
30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,174.0,504.0,496.0,494.0,1494.0,Queens,756.0,Queens,8.7,16.9,27.2,46.3,0.1,1.9,70.0,30.0,108.0,164.0
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,148.0,407.0,434.0,398.0,1239.0,Queens,920.0,Queens,15.6,18.1,56.6,9.4,9.6,16.0,28.2,71.8,51.0,191.0
30Q555,NEWCOMERS HIGH SCHOOL,143.0,323.0,475.0,329.0,1127.0,Queens,929.0,Queens,48.3,5.6,43.5,2.6,90.3,0.0,46.8,53.2,119.0,145.0
30Q575,ACADEMY OF AMERICAN STUDIES,135.0,487.0,492.0,491.0,1470.0,Queens,810.0,Queens,29.1,6.8,34.7,29.4,5.7,8.0,55.0,45.0,101.0,134.0
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,61.0,524.0,568.0,544.0,1636.0,Queens,500.0,Queens,34.8,3.2,24.3,37.3,0.0,0.2,55.2,44.8,,71.0
31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,137.0,452.0,451.0,450.0,1353.0,Staten Island,527.0,Staten Island,11.5,12.0,17.9,58.5,0.2,13.9,58.5,41.5,,76.0
31R064,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,61.0,398.0,412.0,385.0,1195.0,Staten Island,467.0,Staten Island,5.9,15.7,17.6,60.0,1.0,22.8,48.0,52.0,,
31R080,THE MICHAEL J. PETRIDES SCHOOL,107.0,472.0,488.0,466.0,1426.0,Staten Island,1272.0,Staten Island,8.1,18.8,16.9,55.9,1.6,18.5,50.8,49.2,162.0,102.0
31R440,NEW DORP HIGH SCHOOL,391.0,424.0,437.0,416.0,1277.0,Staten Island,2734.0,Staten Island,7.0,12.1,27.3,53.3,5.9,16.9,47.5,52.5,96.0,384.0
31R445,PORT RICHMOND HIGH SCHOOL,271.0,424.0,438.0,417.0,1279.0,Staten Island,1794.0,Staten Island,6.8,30.9,37.6,24.2,5.3,20.9,45.2,54.8,194.0,341.0
31R450,CURTIS HIGH SCHOOL,375.0,437.0,435.0,429.0,1301.0,Staten Island,2396.0,Staten Island,7.3,38.4,31.9,21.8,6.1,14.7,53.6,46.4,247.0,458.0
